,acc,recall,precision,f1
0,0.3373493975903614,0.3373493975903614,0.7572198402124695,0.4351434163305964
1,0.6731688659399503,0.6731688659399503,0.742208427828836,0.7008149325793908
2,0.6432122370936902,0.6432122370936902,0.7292896928312896,0.6771284119217379
3,0.6578092142993691,0.6578092142993691,0.7315130979200258,0.6877214664835496
4,0.6444954128440367,0.6444954128440367,0.7405131047588072,0.6797473683636541
5,0.6561544342507645,0.6561544342507645,0.7420012292030218,0.6895948983331668
6,0.6230886850152905,0.6230886850152905,0.733345114476625,0.6672427250075615
7,0.6579399961781005,0.6579399961781005,0.7405260768766533,0.6910666449391546
8,0.6507451280091708,0.6507451280091708,0.7451729932468559,0.6869929730652694
9,0.6399235912129895,0.6399235912129895,0.7241287104962658,0.6740627870708612
average,0.6183886962433724,0.6183886962433724,0.738591828785085,0.6589515624094942
std,0.09452990903485164,0.09452990903485164,0.008920756234453878,0.07515783695605993
