,acc,recall,precision,f1
0,0.05718110537387646,0.05718110537387646,0.48080861081752674,0.04116350860256758
1,0.19831707783515012,0.19831707783515012,0.4822229743726066,0.25339321457866687
2,0.2,0.2,0.5028093413324087,0.2619342831795817
3,0.21085834448480215,0.21085834448480215,0.5087108061246942,0.26754587082694065
4,0.18100152905198777,0.18100152905198777,0.49654251334310356,0.23939390838559357
5,0.19896788990825687,0.19896788990825687,0.5050818891849773,0.25861991343108354
6,0.16265290519877676,0.16265290519877676,0.5064398626167811,0.21962585729265302
7,0.21880374546149436,0.21880374546149436,0.4869453273665666,0.27596875084835715
8,0.1750095529231945,0.1750095529231945,0.4984174951806075,0.22798559696143397
9,0.16007640878701052,0.16007640878701052,0.4972897483588398,0.21474837663800794
average,0.17628685590245496,0.17628685590245496,0.49652685686981124,0.22603792807448864
std,0.04384478254912284,0.04384478254912284,0.00952366145013732,0.06468673540714676
