,acc,recall,precision,f1
0,0.7039586919104991,0.7039586919104991,0.7031781890547747,0.6972499507363968
1,0.6972652514821189,0.6972652514821189,0.6956508914842277,0.6893642286894325
2,0.704206500956023,0.704206500956023,0.7037603308415864,0.6964314110425914
3,0.6962339896769261,0.6962339896769261,0.6938135648557694,0.6867314145151614
4,0.6974388379204893,0.6974388379204893,0.6946000337224961,0.6899784344326979
5,0.7001146788990825,0.7001146788990825,0.6970286199125117,0.691582264504359
6,0.6953363914373089,0.6953363914373089,0.6901360292259684,0.6849466338275032
7,0.6936747563539079,0.6936747563539079,0.691702724831003,0.6852678712787158
8,0.7046236148261368,0.7046236148261368,0.7018411363478935,0.6967478110692273
9,0.6926456542502388,0.6926456542502388,0.6904852788681677,0.6835117679830849
average,0.6985498367712731,0.6985498367712731,0.6962196799144399,0.6901811788079171
std,0.0042165472980706074,0.0042165472980706074,0.004863852693498142,0.004926947525400476
