,acc,recall,precision,f1
0,0.06808185121438133,0.06808185121438133,0.4318359667212795,0.055029956531481655
1,0.16523235800344235,0.16523235800344235,0.4348300451252044,0.20331730248457502
2,0.16003824091778202,0.16003824091778202,0.4492196265312609,0.19668059669631116
3,0.179506786465303,0.179506786465303,0.45992779913702925,0.2160173486362323
4,0.14583333333333334,0.14583333333333334,0.4755599118165249,0.18543916676537822
5,0.15997706422018348,0.15997706422018348,0.4548429018203666,0.19515843850514608
6,0.12041284403669725,0.12041284403669725,0.4526463052394364,0.15353025387821043
7,0.15688897381998854,0.15688897381998854,0.4464169802095397,0.18909609375510128
8,0.14482231562858236,0.14482231562858236,0.44609630559720403,0.17472065979268497
9,0.12817574021012415,0.12817574021012415,0.43930401707319006,0.16129088478537545
average,0.1428969507849818,0.1428969507849818,0.44906798592710356,0.17302807018304964
std,0.029920492790411365,0.029920492790411365,0.012152324654564286,0.04321026916647564
