,acc,recall,precision,f1
0,0.3830560336584433,0.3830560336584433,0.3822600679532727,0.37361986666588065
1,0.40218014916810096,0.40218014916810096,0.41322097861888224,0.36099992545806464
2,0.3881453154875717,0.3881453154875717,0.3699997224997495,0.36169085328654
3,0.3896004588032881,0.3896004588032881,0.4392636910484129,0.37912137271042695
4,0.4183868501529052,0.4183868501529052,0.3982610489226813,0.39957370542193543
5,0.45871559633027525,0.45871559633027525,0.43270664742940673,0.44509042536562055
6,0.46521406727828746,0.46521406727828746,0.42828259307501365,0.4414713273460324
7,0.43798968087139306,0.43798968087139306,0.4009439425906731,0.36939014310434154
8,0.41880015284677113,0.41880015284677113,0.4048158014892827,0.40569869176207685
9,0.4492836676217765,0.4492836676217765,0.43531623022850924,0.42442204718264215
average,0.42113719722188125,0.42113719722188125,0.4105070723855884,0.39610783583035614
std,0.028873409150586032,0.028873409150586032,0.022296055134171433,0.030476236026292437
