,acc,recall,precision,f1
0,0.9862306368330465,0.9862306368330465,0.9863339354369904,0.9862096520910328
1,0.9862306368330465,0.9862306368330465,0.9863023967250619,0.9862150195878103
2,0.9883365200764819,0.9883365200764819,0.9884001511008987,0.9883207306939032
3,0.9892945899445613,0.9892945899445613,0.9893326524649525,0.9892732001719021
4,0.9866207951070336,0.9866207951070336,0.9867062799007916,0.9865876088442458
5,0.9860474006116208,0.9860474006116208,0.9861441830593524,0.9860348082880093
6,0.9875764525993884,0.9875764525993884,0.9876145843854125,0.9875499584792264
7,0.989298681444678,0.989298681444678,0.9893248168402207,0.9892878673404248
8,0.9866259075277035,0.9866259075277035,0.9866977191063268,0.9866031395830839
9,0.9872015281757403,0.9872015281757403,0.9872791980329864,0.9871781775795596
average,0.9873463149153301,0.9873463149153301,0.9874135917052993,0.9873260162659199
std,0.0011783022872138894,0.0011783022872138894,0.0011572341462393028,0.001179722206220992
