,acc,recall,precision,f1
0,0.5469497035762096,0.5469497035762096,0.5236436948775983,0.5111273521613953
1,0.5471409447313061,0.5471409447313061,0.5273475872104557,0.511605043375059
2,0.5483747609942639,0.5483747609942639,0.5222275660863069,0.5119663224768545
3,0.5519021219652074,0.5519021219652074,0.535965042464224,0.5178510200219129
4,0.5468272171253823,0.5468272171253823,0.521080095875816,0.5135340959702789
5,0.5504587155963303,0.5504587155963303,0.5306938857605903,0.5170761695289213
6,0.5554281345565749,0.5554281345565749,0.5338591521743695,0.5222422573752485
7,0.5476781960634435,0.5476781960634435,0.5289459389870579,0.511029117902326
8,0.5512036683225067,0.5512036683225067,0.5241864390140532,0.5150419806170927
9,0.5484240687679083,0.5484240687679083,0.5254981970259418,0.5070455676574914
average,0.5494387531699133,0.5494387531699133,0.5273447599476414,0.513851892708658
std,0.002639180956029077,0.002639180956029077,0.004722725485493811,0.004106402927702584
