,acc,recall,precision,f1
0,0.8413305295354617,0.8413305295354617,0.8399426331179621,0.8393821321928046
1,0.8432422099025043,0.8432422099025043,0.8423410826076702,0.8426497703345258
2,0.8254635824890079,0.8254635824890079,0.8237524677038085,0.8239681519700375
3,0.8262282546358249,0.8262282546358249,0.8249713952021188,0.8253694650293381
4,0.8379204892966361,0.8379204892966361,0.8368327875996193,0.8371693189793454
5,0.8209097859327217,0.8209097859327217,0.8193499833538582,0.8197525412938655
6,0.8409785932721713,0.8409785932721713,0.8397459158873283,0.840022325776496
7,0.8358180428134556,0.8358180428134556,0.8343042227718666,0.8336690350064029
8,0.8478593272171254,0.8478593272171254,0.8466296705513889,0.84676759891975
9,0.8253391935792088,0.8253391935792088,0.8239614973439687,0.8243565430653758
average,0.8345090008674119,0.8345090008674119,0.8331831656139588,0.8333106882567941
std,0.00880712916563308,0.00880712916563308,0.00894863047659265,0.008829376691196081
