,acc,recall,precision,f1
0,0.993500286752055,0.993500286752055,0.9935313153017752,0.9935058535355943
1,0.9944561269355764,0.9944561269355764,0.9944610715237179,0.9944576244569405
2,0.9906327662014911,0.9906327662014911,0.9906589345273485,0.99063930108685
3,0.989868094054674,0.989868094054674,0.9898692700866388,0.9898686432534495
4,0.9921636085626911,0.9921636085626911,0.9921822757249839,0.9921682441542404
5,0.9908256880733946,0.9908256880733946,0.9908684290890696,0.9908345167023536
6,0.992545871559633,0.992545871559633,0.9925640906256832,0.9925502810247652
7,0.9898700305810397,0.9898700305810397,0.9899452136293413,0.9898834903243083
8,0.9898700305810397,0.9898700305810397,0.9899357053682217,0.9898824344342597
9,0.9906363462640932,0.9906363462640932,0.9906757221475074,0.9906448530092636
average,0.9914368849565689,0.9914368849565689,0.9914692028024289,0.9914435241982023
std,0.0015544654562069252,0.0015544654562069252,0.001542460894196107,0.0015522445004965914
